District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
SAHIWAL DISTRICT,Transgender,Rural,65 - 69,71.43%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,70 - 74,50.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,75 & ABOVE,42.86%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,10 & ABOVE,15.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,15 -  19,0.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,20 - 24,0.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,25 - 29,27.27%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,30 - 34,28.57%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,35 - 39,0.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,40 - 44,16.67%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,45 - 49,20.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,50 - 54,20.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,55 - 59,0.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,60 - 64,33.33%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,65 - 69,#DIV/0!,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,70 - 74,0.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Sahiwal
SARGODHA DISTRICT,Female,Rural,10 & ABOVE,74.52%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,15 -  19,56.60%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,20 - 24,80.84%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,25 - 29,89.55%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,30 - 34,91.44%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,35 - 39,91.97%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,40 - 44,92.12%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,45 - 49,91.98%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,50 - 54,91.79%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,55 - 59,91.47%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,60 - 64,89.64%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,65 - 69,87.49%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,70 - 74,81.76%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,75 & ABOVE,74.64%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Rural,Between 10-14,21.69%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,10 & ABOVE,64.98%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,15 -  19,30.07%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,20 - 24,60.96%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,25 - 29,81.50%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,30 - 34,87.49%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,35 - 39,88.96%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,40 - 44,88.89%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,45 - 49,88.73%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,50 - 54,89.14%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,55 - 59,89.86%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,60 - 64,89.16%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,65 - 69,85.80%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,70 - 74,81.56%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,75 & ABOVE,75.85%,House Keeping,Sargodha
SARGODHA DISTRICT,Female,Urban,Between 10-14,7.89%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,10 & ABOVE,10.05%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,15 -  19,8.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,20 - 24,9.89%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,25 - 29,10.34%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,30 - 34,10.25%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,35 - 39,10.54%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,40 - 44,10.78%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,45 - 49,10.58%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,50 - 54,11.20%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,55 - 59,12.84%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,60 - 64,14.92%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,65 - 69,16.99%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,70 - 74,18.64%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,75 & ABOVE,21.08%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Rural,Between 10-14,4.57%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,10 & ABOVE,4.01%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,15 -  19,2.65%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,20 - 24,3.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,25 - 29,3.15%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,30 - 34,3.03%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,35 - 39,2.78%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,40 - 44,2.92%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,45 - 49,3.33%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,50 - 54,4.03%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,55 - 59,5.81%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,60 - 64,10.41%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,65 - 69,14.41%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,70 - 74,17.76%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,75 & ABOVE,22.05%,House Keeping,Sargodha
SARGODHA DISTRICT,Male,Urban,Between 10-14,1.71%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,10 & ABOVE,33.67%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,15 -  19,10.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,20 - 24,29.63%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,25 - 29,38.89%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,30 - 34,33.33%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,35 - 39,20.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,40 - 44,57.14%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,45 - 49,45.45%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,50 - 54,44.44%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,55 - 59,20.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,60 - 64,30.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,65 - 69,28.57%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,70 - 74,0.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,75 & ABOVE,55.56%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,10 & ABOVE,14.22%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,15 -  19,9.09%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,20 - 24,8.70%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,25 - 29,10.26%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,30 - 34,11.11%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,35 - 39,16.67%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,40 - 44,15.38%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,45 - 49,0.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,50 - 54,9.09%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,55 - 59,33.33%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,60 - 64,50.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,65 - 69,50.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,70 - 74,50.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,75 & ABOVE,60.00%,House Keeping,Sargodha
SARGODHA DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Sargodha
SHEIKHUPURA DISTRICT,Female,Rural,10 & ABOVE,70.94%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,15 -  19,48.95%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,20 - 24,79.79%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,25 - 29,90.05%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,30 - 34,92.22%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,35 - 39,92.69%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,40 - 44,92.70%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,45 - 49,92.81%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,50 - 54,92.51%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,55 - 59,91.41%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,60 - 64,89.29%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,65 - 69,86.11%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,70 - 74,82.40%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,75 & ABOVE,75.72%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,Between 10-14,16.51%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,10 & ABOVE,66.32%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,15 -  19,33.74%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,20 - 24,69.15%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,25 - 29,85.57%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,30 - 34,90.29%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,35 - 39,91.29%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,40 - 44,90.97%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,45 - 49,91.04%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,50 - 54,91.20%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,55 - 59,90.28%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,60 - 64,88.32%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,65 - 69,84.24%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,70 - 74,80.22%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,75 & ABOVE,75.02%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,Between 10-14,9.05%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,10 & ABOVE,7.20%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,15 -  19,6.76%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,20 - 24,7.13%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,25 - 29,6.64%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,30 - 34,6.24%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,35 - 39,5.93%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,40 - 44,6.27%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,45 - 49,6.12%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,50 - 54,7.05%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,55 - 59,8.34%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,60 - 64,12.20%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,65 - 69,14.33%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,70 - 74,17.52%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,75 & ABOVE,20.78%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,Between 10-14,5.22%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,10 & ABOVE,3.07%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,15 -  19,2.24%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,20 - 24,2.22%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,25 - 29,2.17%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,30 - 34,2.21%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,35 - 39,2.02%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,40 - 44,2.04%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,45 - 49,2.20%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,50 - 54,2.89%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,55 - 59,4.53%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,60 - 64,8.26%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,65 - 69,11.24%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,70 - 74,16.72%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,75 & ABOVE,18.46%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,Between 10-14,1.99%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,10 & ABOVE,42.23%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,15 -  19,27.27%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,20 - 24,44.44%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,25 - 29,47.06%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,30 - 34,58.33%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,35 - 39,40.74%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,40 - 44,35.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,45 - 49,40.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,50 - 54,71.43%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,55 - 59,28.57%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,60 - 64,42.86%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,65 - 69,50.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,70 - 74,33.33%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,75 & ABOVE,22.22%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,10 & ABOVE,24.86%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,15 -  19,33.33%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,20 - 24,20.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,25 - 29,31.03%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,30 - 34,29.17%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,35 - 39,10.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,40 - 44,9.09%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,45 - 49,31.58%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,50 - 54,0.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,55 - 59,16.67%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,60 - 64,50.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,65 - 69,0.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,70 - 74,100.00%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,75 & ABOVE,14.29%,House Keeping,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Sheikhupura
SIALKOT DISTRICT,Female,Rural,10 & ABOVE,66.00%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,15 -  19,31.65%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,20 - 24,71.72%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,25 - 29,87.71%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,30 - 34,91.37%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,35 - 39,91.62%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,40 - 44,91.18%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,45 - 49,91.29%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,50 - 54,91.45%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,55 - 59,91.37%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,60 - 64,89.29%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,65 - 69,87.06%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,70 - 74,82.40%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,75 & ABOVE,74.83%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Rural,Between 10-14,5.71%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,10 & ABOVE,63.96%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,15 -  19,21.09%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,20 - 24,60.71%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,25 - 29,83.77%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,30 - 34,89.03%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,35 - 39,90.06%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,40 - 44,89.96%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,45 - 49,89.38%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,50 - 54,90.16%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,55 - 59,90.22%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,60 - 64,89.29%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,65 - 69,86.01%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,70 - 74,81.36%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,75 & ABOVE,75.14%,House Keeping,Sialkot
SIALKOT DISTRICT,Female,Urban,Between 10-14,4.73%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,10 & ABOVE,7.29%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,15 -  19,5.01%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,20 - 24,6.58%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,25 - 29,6.69%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,30 - 34,6.44%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,35 - 39,6.42%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,40 - 44,6.78%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,45 - 49,7.21%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,50 - 54,9.01%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,55 - 59,11.38%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,60 - 64,15.36%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,65 - 69,19.57%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,70 - 74,22.44%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,75 & ABOVE,25.51%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Rural,Between 10-14,2.11%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,10 & ABOVE,2.99%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,15 -  19,1.86%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,20 - 24,2.31%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,25 - 29,2.17%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,30 - 34,2.20%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,35 - 39,2.24%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,40 - 44,2.16%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,45 - 49,2.29%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,50 - 54,2.97%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,55 - 59,4.32%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,60 - 64,7.21%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,65 - 69,10.02%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,70 - 74,13.96%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,75 & ABOVE,17.56%,House Keeping,Sialkot
SIALKOT DISTRICT,Male,Urban,Between 10-14,1.37%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,10 & ABOVE,39.94%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,15 -  19,20.59%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,20 - 24,27.08%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,25 - 29,36.21%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,30 - 34,41.46%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,35 - 39,30.77%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,40 - 44,51.85%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,45 - 49,60.00%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,50 - 54,66.67%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,55 - 59,52.94%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,60 - 64,33.33%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,65 - 69,62.50%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,70 - 74,37.50%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,75 & ABOVE,50.00%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,10 & ABOVE,22.73%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,15 -  19,16.67%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,20 - 24,30.43%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,25 - 29,14.29%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,30 - 34,9.38%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,35 - 39,22.73%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,40 - 44,13.33%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,45 - 49,28.57%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,50 - 54,25.00%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,55 - 59,55.56%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,60 - 64,28.57%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,65 - 69,50.00%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,70 - 74,#DIV/0!,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,75 & ABOVE,50.00%,House Keeping,Sialkot
SIALKOT DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Sialkot
TOBA TEK SINGH DISTRICT,Female,Rural,10 & ABOVE,71.21%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,15 -  19,49.49%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,20 - 24,77.00%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,25 - 29,87.17%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,30 - 34,89.50%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,35 - 39,89.67%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,40 - 44,89.17%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,45 - 49,89.76%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,50 - 54,89.53%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,55 - 59,89.44%,House Keeping,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,60 - 64,87.34%,House Keeping,Toba Tek Singh
